tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio,invest_por_MW
UTE,UTE Cacimbaes,A-5,Leilão 3/2008,126.59,66.2,64,145.0,Linhares/ES,Gás Natural,PIE,261572000.0,"Consórcio Termo Cacimbaes - Thermes Participações S.A. (99,999%) e Spectrum Energy Partners Consultoria Ltda (0,001%) ",2066292.7561418754
UTE,UTE Cauhyra I,A-5,Leilão 3/2008,148.0,68.1,68,146.0,Cariacica/ES,Óleo Combustível B1,PIE,220000000.0,Hexagonal Construções Ltda.,1486486.4864864864
UTE,UTE Escolha,A-5,Leilão 3/2008,337.56,194.1,189,144.5,Cariacica/ES,Gás Natural,PIE,634363000.0,"Consórcio Termo Escolha - Thermes Participações S.A. (33,333%), Spectrum Energy Partners Consultoria Ltda (0,001%) e Trana Construções S.A. (66,666%)",1879259.9834103566
UTE,UTE Iconha,A-5,Leilão 3/2008,184.0,104.1,100,146.0,Iconha/ES,Óleo Combustível 1B,PIE,230850000.0,"Consórcio MC2 BE ES - Benco Energia Ltda. (10%) e
Águas Guariroba Ambiental Ltda. (90%)",1254619.5652173914
UTE,UTE MC2 Camaçari 2,A-5,Leilão 3/2008,176.0,103.3,99,145.98,Camaçari/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda.(0,01%) e
Águas Guariroba Aambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE MC2 Camaçari 3,A-5,Leilão 3/2008,176.0,103.3,99,145.97,Camaçari/BA,Óleo Combustível,PIE,327160000.0,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba ambiental ltda. 99,99%",1858863.6363636365
UTE,UTE MC2 Governador Mangabeira,A-5,Leilão 3/2008,176.0,103.3,99,146.0,Governador Mangabeira/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE MC2 João Neiva,A-5,Leilão 3/2008,330.0,233.3,225,146.0,João Neiva/ES,Gás Natural Regaseificado (a partir de GNL),PIE,685867000.0,"Consórcio MC2 GP ES RN - Genpower Energy Participações Ltda. (0,01%) e Águas Guariroba Ambiental Ltda. (99,99%)",2078384.8484848484
UTE,UTE MC2 Joinville,A-5,Leilão 3/2008,330.0,233.3,225,146.0,Nova Venécia/ES,Gas Natural,PIE,685867000.0,"Consórcio MC2 EC ES RS - Ellocin Brasil Participações e Consultoria Empresarial Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)",2078384.8484848484
UTE,UTE MC2 Macaíba,A-5,Leilão 3/2008,400.0,232.6,224,146.0,Macaíba/RN,Óleo Combustível,PIE,641110000.0,"Consórcio MC2 GP ES RN - Genpower Energy Participações Lltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)",1602775.0
