tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio 
EOL,EOL Corrupião,Reserva,Leilão 3/2011,"22,40","13,7","13,7","96,97",Pindaí/BA,Vento,PIE,"94.474.680,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
EOL,EOL Famosa I,Reserva,Leilão 3/2011,"22,50","11,1","10,4","99,70",Tibau/RN,Vento,PIE,"80.121.000,00","Consórcio Famosa: 
Empresa Brasileira de Desenvolvimento e Participações Ltda.
Comercial Mineira S.A.
Ventos Tecnologia Elétrica Ltda."
UTE,UTE Guaçu,Reserva,Leilão 3/2011,"30,00","25,5",15,"101,99",Aripuanã/MT,Cavaco / Resíduo de Madeira ,PIE,"86.735.000,00",Guaçu Geração de Energia S.A.
UTE,UTE Iaco,Reserva,Leilão 3/2011,"30,00","12,8",4,"101,49",Chapadão do Sul/MS,Bagaço de Cana-de-Açúcar,AP,"74.276.490,00",Iaco Agrícola S.A
EOL,EOL Inhambu,Reserva,Leilão 3/2011,"25,60","15,5","15,5","96,97",Caetité/BA,Vento,PIE,"45.335.050,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
EOL,EOL Malhadinha 1,Reserva,Leilão 3/2011,"22,00","12,8",12,"98,95",Ibiapina/CE,Vento,PIE,"91.120.000,00","Consórcio Malhadinha I: 
Servtec Investimentos e Participações Ltda.
Servtec Energia Ltda.
Servtec RM Participações S.A.
Gerabras Participações Ltda."
UTE,UTE Meridiano,Reserva,Leilão 3/2011,"60,00","18,8","0,1","98,77",Meridiano/SP,UTE,PIE,"83.727.390,00",Noble Brasil S.A.
EOL,EOL Miassaba 4,Reserva,Leilão 3/2011,"28,80","13,5","13,5","100,07",Caiçara do Norte e São Bento do Norte/RN,Vento,PIE,"105.970.000,00",Miassaba Geradora Eólica S.A.
UTE,UTE Noble Energia II,Reserva,Leilão 3/2011,"30,00","16,2","0,1","98,78",Meridiano/SP,UTE,PIE,"74.450.650,00",Noble Brasil S.A.
EOL,Parque Eólico dos  Índios 2,Reserva,Leilão 3/2011,"28,00","11,5","11,5","100,01",Osório/RS,Vento,PIE,"127.823.230,00","Consórcio Elecnor-Enerfín 2011: 
Enerfin do Brasil Sociedade de Energia Ltda.
Elecnor S.A."
EOL,Parque Eólico Lanchinha,Reserva,Leilão 3/2011,"28,00","13,2","13,2","101,68",RN,Vento,PIE,"102.222.000,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L"
EOL,Parque Eólico Pelado,Reserva,Leilão 3/2011,"20,00",9,9,"100,69",Bodó/RN,Vento,PIE,"74.775.200,00","Consórcio Gestamp Eólica: 
Gestamp Eólica Brasil S.A.
Corporacion Gestamp S.L"
EOL,EOL Pau Brasil,Reserva,Leilão 3/2011,"15,00","7,7","7,1","99,70",Icapuí/CE,Vento,PIE,"52.227.000,00","Consórcio Famosa: 
Empresa Brasileira de Desenvolvimento e Participações Ltda.
Comercial Mineira S.A.
Ventos Tecnologia Elétrica Ltda."
EOL,EOL Reduto,Reserva,Leilão 3/2011,"28,80","14,4","13,9","98,92",São Miguel do Gostoso/RN,Vento,PIE,"128.922.000,00","Consórcio Reduto: 
Voltalia Energia do Brasil Ltda.
Voltalia S.A."
EOL,EOL Rosada,Reserva,Leilão 3/2011,"30,00","13,4","12,8","99,70","Tibau, RN",Vento,PIE,"104.553.000,00","Consórcio Famosa: 
Empresa Brasileira de Desenvolvimento e Participações Ltda.
Comercial Mineira S.A.
Ventos Tecnologia Elétrica Ltda."
EOL,EOL Santa Helena,Reserva,Leilão 3/2011,"30,00",16,16,"101,98",João Câmara/RN,Vento,PIE,"111.000.000,00",Santa Helena Energias Renováveis S.A.
EOL,EOL Santo Cristo,Reserva,Leilão 3/2011,"28,80","15,3","14,8","98,92",Touros/RN,Vento,PIE,"128.922.000,00","Consórcio Santo Cristo: 
Voltalia Energia do Brasil Ltda.
Voltalia S.A."
EOL,EOL São João,Reserva,Leilão 3/2011,"28,80","14,3","14,3","98,92",São Miguel do Gostoso/RN,Vento,PIE,"128.922.000,00","Consórcio São João: 
Voltalia Energia do Brasil Ltda.
Voltalia S.A."
EOL,EOL São Paulo,Reserva,Leilão 3/2011,"17,50","8,1","7,6","99,70",Icapuí/CE,Vento,PIE,"62.261.000,00","Consórcio Famosa: 
Empresa Brasileira de Desenvolvimento e Participações Ltda.
Comercial Mineira S.A.
Ventos Tecnologia Elétrica Ltda."
EOL,EOL SM,Reserva,Leilão 3/2011,"30,00","15,7","15,7","101,98",João Câmara/RN,Vento,PIE,"111.000.000,00",Santa Maria Energias Renováveis S.A.
EOL,EOL Tamanduá Mirim,Reserva,Leilão 3/2011,"24,00","13,6","13,6","96,97",BA,Vento,PIE,"42.501.610,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
EOL,EOL Teiu,Reserva,Leilão 3/2011,"17,60","8,2","8,2","99,98",Pindaí/BA,Vento,PIE,"74.230.250,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
UTE,UTE Tropical Bioenergia,Reserva,Leilão 3/2011,"50,00","19,7","7,3","95,00",Etéia/GO,UTE,PIE,"58.279.000,00",Tropical Bioenergia S.A.
UTE,UTE Vale do Rosário,Reserva,Leilão 3/2011,"97,00","34,4","10,8","101,50",Morro Agudo/SP,UTE,PIE,"1.100.000,00",LDC-SEV Bioenergia S.A.- Unidade Vale do Rosário
